AppDisplayName,AppId
Microsoft App Access Panel,0000000c-0000-0000-c000-000000000000
Microsoft Teams Retail Service,75efb5bc-18a1-4e7b-8a66-2ad2503d79c6
Power BI Premium,cb4dc29f-0bf4-402a-8b30-7511498ed654
Office Scripts Service,62fd1447-0ef3-4ab7-a956-7dd05232ecc1
Intune DeviceActionService,18a4ad1e-427c-4cad-8416-ef674e801d32
Dynamics 365 Business Central,996def3d-b36c-4153-8607-a6fd3c01b89f
Skype For Business Powershell Server Application,39624784-6cbe-4a60-afbe-9f46d10fdb27
Microsoft.MileIQ.Dashboard,f7069a8d-9edc-4300-b365-ae53c9627fc4
Power Query Online GCC-L2,939fe80f-2eef-464f-b0cf-705d254a2cf2
O365 UAP Processor,df09ff61-2178-45d8-888c-4210c1c7b0b2
Microsoft To-Do,2087bd82-7206-4c0a-b305-1321a39e5926
MCAPI Authorization Prod,d73f4b35-55c9-48c7-8b10-651f6f2acb2e
O365 Secure Score,8b3391f4-af01-4ee8-b4ea-9871b2499735
Microsoft Teams AuditService,978877ea-b2d6-458b-80c7-05df932f3723
Demeter.WorkerRole,3c31d730-a768-4286-a972-43e9b83601cd
Microsoft Mobile Application Management,0a5f63c0-b750-4f38-a71c-4fc0d58b89e2
IDML Graph Resolver Service and CAD,d88a361a-d488-4271-a13f-a83df7dd99c2
Permission Service O365,6d32b7f8-782e-43e0-ac47-aaad9f4eb839
Skype for Business Management Reporting and Analytics – Legacy,de17788e-c765-4d31-aba4-fb837cfff174
Microsoft Azure Workflow,00000005-0000-0000-c000-000000000000
Teams Application Gateway,8a753eec-59bc-4c6a-be91-6bf7bfe0bcdf
Microsoft Intune API,c161e42e-d4df-4a3d-9b42-e7a3c31f59d4
Substrate Instant Revocation Pipeline,eace8149-b661-472f-b40d-939f89085bd4
LinkedIn,f03e9017-17a2-4eea-b8d1-c27da31393d2
Yggdrasil,78e7bc61-0fab-4d35-8387-09a8d2f5a59d
Microsoft Teams User Profile Search Service,a47591ab-e23e-4ffa-9e1b-809b9067e726
SalesInsightsWebApp,b20d0d3a-dc90-485b-ad11-6031e769e221
Microsoft Parature Dynamics CRM,8909aac3-be91-470c-8a0b-ff09d669af91
Application Insights Configuration Service,6a0a243c-0886-468a-a4c2-eff52c7445da
Directory and Policy Cache,7b58f833-4438-494c-a724-234928795a67
ConnectionsService,b7912db9-aa33-4820-9d4f-709830fdd78f
Dynamics CRM Online Administration,637fcc9f-4a9b-4aaa-8713-a2a3cfda1505
Microsoft Teams AadSync,62b732f7-fc71-40bc-b27d-35efcb0509de
Microsoft Teams Web Client,5e3ce6c0-2b1f-4285-8d4b-75ee78787346
Microsoft Office Licensing Service vNext,db55028d-e5ba-420f-816a-d18c861aefdf
Microsoft Teams Partner Tenant Administration,0c708d37-30b2-4f22-8168-5d0cba6f37be
Azns AAD Webhook,461e8683-5575-4561-ac7f-899cc907d62a
Export to data lake,7f15f9d9-cad0-44f1-bbba-d36650e07765
Windows Store for Business,45a330b1-b1ec-4cc1-9161-9f03992aa49f
Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d
MicrosoftAzureActiveDirectoryIntegratedApp,af47b99c-8954-4b45-ab68-8121157418ef
Microsoft Office Web Apps Service,67e3df25-268a-4324-a550-0de1c7f97287
Cortana Experience with O365,0a0a29f9-0a25-49c7-94bf-c53c3f8fa69d
Call Recorder,4580fd1d-e5a3-4f56-9ad1-aab0e3bf8f76
Box,89220c47-d3bd-4942-a242-bda247a5bc5b
Microsoft Graph,00000003-0000-0000-c000-000000000000
ProjectWorkManagement,09abbdfd-ed23-44ee-a2d9-a627aa1c90f3
Office 365 SharePoint Online,00000003-0000-0ff1-ce00-000000000000
Office 365 Reports,507bc9da-c4e2-40cb-96a7-ac90df92685c
Windows Azure Security Resource Provider,8edd93e1-2103-40b4-bd70-6e34e586362d
Bing,9ea1ad79-fdb6-4f9a-8bc3-2b70f96e34c7
Common Data Service License Management,1c2909a7-6432-4263-a70d-929a3c1f9ee5
Bot Framework Dev Portal,f3723d34-6ff5-4ceb-a148-d99dcd2511fc
Dynamics Provision,39e6ea5b-4aa4-4df2-808b-b6b5fb8ada6f
Exchange Office Graph Client for AAD – Noninteractive,765fe668-04e7-42ba-aec0-2c96f1d8b652
Microsoft Exchange Online Protection,00000007-0000-0ff1-ce00-000000000000
Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c
Microsoft Stream Service,2634dd23-5e5a-431c-81ca-11710d9079f4
DWEngineV2,441509e5-a165-4363-8ee7-bcf0b7d26739
Dynamic Alerts,707be275-6b9d-4ee7-88f9-c0c2bd646e0f
Microsoft AppPlat EMA,dee7ba80-6a55-4f3b-a86c-746a9231ae49
Common Data Service,00000007-0000-0000-c000-000000000000
Azure AD Identity Governance,bf26f092-3426-4a99-abfb-97dad74e661a
KaizalaActionsPlatform,9bb724a5-4639-438c-969b-e184b2b1e264
Office 365 LinkedIn Connection,f569b9c7-be15-4e87-86f7-87d30d02090b
M365 Admin Services,6b91db1b-f05b-405a-a0b2-e3f60b28d645
SharePoint Notification Service,3138fe80-4087-4b04-80a6-8866c738028a
Intune CMDeviceService,14452459-6fa6-4ec0-bc50-1528a1a06bf0
IC3 Long Running Operations Service,21a8a852-89f4-4947-a374-b26b2db3d365
Connectors,48af08dc-f6d2-435f-b2a7-069abd99c086
Outlook Online Add-in App,bc59ab01-8403-45c6-8796-ac3ef710b3e3
Azure AD Identity Protection,fc68d9e5-1f76-45ef-99aa-214805418498
Azure AD Identity Governance Insights,58c746b0-a0b0-4647-a8f6-12dde5981638
OfficeClientService,0f698dd4-f011-4d23-a33e-b36416dcb1e6
Microsoft.Azure.SyncFabric,00000014-0000-0000-c000-000000000000
Signup,b4bddae8-ab25-483e-8670-df09b9f1d0ea
SharePoint Online Client Extensibility,c58637bb-e2e1-4312-8a00-04b5ffcd3403
M365 License Manager,aeb86249-8ea3-49e2-900b-54cc8e308f85
Office 365 Search Service,66a88757-258c-4c72-893c-3e8bed4d6899
Teams User Engagement Profile Service,0f54b75d-4d29-4a92-80ae-106a60cd8f5d
ISV Portal,c6871074-3ded-4935-a5dc-b8f8d91d7d06
SharePoint Notification Service,88884730-8181-4d82-9ce2-7d5a7cc7b81e
